-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2019 in LST
Location: latitude  10.85   longitude 76.27 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 370.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,DOY,T2M,RH2M,PRECTOTCORR,WS2M
2019,1,23.2,57.75,0.0,1.59
2019,2,22.43,55.58,0.0,1.67
2019,3,22.67,57.96,0.0,1.56
2019,4,22.91,55.94,0.0,1.64
2019,5,22.84,59.85,0.0,1.26
2019,6,23.34,62.94,0.0,1.17
2019,7,23.75,63.34,0.0,1.4
2019,8,24.22,64.22,0.0,1.03
2019,9,24.0,55.9,0.0,1.2
2019,10,24.17,56.44,0.0,1.24
2019,11,24.29,62.05,0.0,1.13
2019,12,24.77,61.18,0.0,1.1
2019,13,24.61,53.13,0.0,1.46
2019,14,24.75,60.97,0.0,1.33
2019,15,25.14,52.94,0.0,1.28
2019,16,24.71,48.04,0.0,1.44
2019,17,24.41,54.71,0.0,1.43
2019,18,24.33,55.58,0.0,1.33
2019,19,24.44,53.49,0.0,1.28
2019,20,24.17,48.5,0.0,1.37
2019,21,24.32,48.29,0.0,1.28
2019,22,24.05,54.24,0.0,1.14
2019,23,24.85,58.69,0.0,0.93
2019,24,25.72,63.01,0.0,0.92
2019,25,25.69,67.75,0.0,1.03
2019,26,25.96,68.42,0.0,1.19
2019,27,25.99,67.3,0.0,1.31
2019,28,25.72,65.64,0.0,1.31
2019,29,26.49,59.89,0.02,1.07
2019,30,26.34,57.62,0.07,1.29
2019,31,26.15,57.84,0.0,1.1
2019,32,25.86,57.89,0.01,1.18
2019,33,26.24,59.72,0.0,1.14
2019,34,27.07,57.52,0.0,0.95
2019,35,27.42,52.72,0.0,1.23
2019,36,27.43,57.25,0.02,1.16
2019,37,27.61,55.77,0.18,1.11
2019,38,27.06,63.46,0.51,1.08
2019,39,27.46,68.61,0.19,0.98
2019,40,27.54,65.94,1.05,1.14
2019,41,26.59,70.78,3.0,0.91
2019,42,27.58,60.51,0.3,1.22
2019,43,27.46,52.22,0.01,1.68
2019,44,27.55,49.4,0.0,1.55
2019,45,27.71,53.68,0.0,1.52
2019,46,28.56,59.66,0.05,1.11
2019,47,28.57,60.69,0.05,1.2
2019,48,27.86,58.61,0.03,1.63
2019,49,27.41,55.43,0.0,1.65
2019,50,27.88,58.83,2.45,0.86
2019,51,28.7,57.14,0.95,1.07
2019,52,28.53,48.18,0.0,1.09
2019,53,27.89,40.72,0.0,1.52
2019,54,27.75,38.44,0.0,1.31
2019,55,27.96,44.99,0.0,1.06
2019,56,28.28,51.18,0.0,1.02
2019,57,27.79,64.82,0.21,1.62
2019,58,27.71,61.58,0.0,1.61
2019,59,27.83,58.85,0.05,1.56
2019,60,28.72,52.07,1.51,1.34
2019,61,28.05,64.53,8.33,0.99
2019,62,28.22,64.04,0.3,1.04
2019,63,28.06,62.68,0.0,1.19
2019,64,28.26,62.02,0.0,1.55
2019,65,28.12,62.77,0.14,1.8
2019,66,28.41,60.6,0.1,1.38
2019,67,27.23,67.7,0.01,1.43
